source,idColName,iden,text,startByte,endByte,pdncID
exp,exp_name,emily haven,Emily Haven,61,72,2
booknlp,COREF,31,she,85,88,2
booknlp,COREF,31,she,279,282,2
booknlp,COREF,31,she,325,328,2
booknlp,COREF,31,She,400,403,2
booknlp,COREF,31,her,441,444,2
booknlp,COREF,31,she,574,577,2
booknlp,COREF,31,She,594,597,2
booknlp,COREF,31,her,628,631,2
booknlp,COREF,31,her,641,644,2
booknlp,COREF,31,she,651,654,2
booknlp,COREF,31,herself,666,673,2
booknlp,COREF,31,She,765,768,2
booknlp,COREF,31,her,807,810,2
booknlp,COREF,31,she,979,982,2
exp,exp_name,emily,Emily,1081,1086,2
booknlp,COREF,31,you,1092,1095,2
exp,exp_name,ben,Ben,1115,1118,20
booknlp,COREF,31,her,1173,1176,2
booknlp,COREF,31,her,1195,1198,2
exp,exp_name,emily,Emily,1281,1286,2
booknlp,COREF,31,her,1294,1297,2
booknlp,COREF,31,she,1349,1352,2
booknlp,COREF,31,her,1359,1362,2
booknlp,COREF,31,her,1409,1412,2
booknlp,COREF,31,her,1447,1450,2
booknlp,COREF,31,she,1495,1498,2
booknlp,COREF,31,her,1504,1507,2
booknlp,COREF,31,her,1637,1640,2
booknlp,COREF,31,Her,1654,1657,2
exp,exp_name,emily,Emily,1672,1677,2
booknlp,COREF,31,her,1757,1760,2
booknlp,COREF,31,she,1789,1792,2
booknlp,COREF,31,she,1835,1838,2
booknlp,COREF,31,her,1870,1873,2
booknlp,COREF,31,her,1952,1955,2
booknlp,COREF,31,she,2131,2134,2
exp,exp_name,emily,Emily,2142,2147,2
booknlp,COREF,31,her,2167,2170,2
booknlp,COREF,31,her,2208,2211,2
booknlp,COREF,31,She,2221,2224,2
booknlp,COREF,31,she,2267,2270,2
booknlp,COREF,31,her,2432,2435,2
exp,exp_name,emily,Emily,2607,2612,2
booknlp,COREF,31,her,2780,2783,2
booknlp,COREF,31,she,2792,2795,2
exp,exp_name,emily,Emily,2871,2876,2
booknlp,COREF,31,her,2928,2931,2
booknlp,COREF,31,her,2999,3002,2
exp,exp_name,emily,Emily,3068,3073,2
booknlp,COREF,31,her,3080,3083,2
booknlp,COREF,31,She,3296,3299,2
booknlp,COREF,31,her,3343,3346,2
booknlp,COREF,31,She,3357,3360,2
booknlp,COREF,31,her,3492,3495,2
exp,exp_name,emily,Emily,3602,3607,2
booknlp,COREF,31,her,3614,3617,2
exp,exp_name,emily,Emily,3903,3908,2
booknlp,COREF,31,She,3910,3913,2
booknlp,COREF,31,her,4061,4064,2
booknlp,COREF,31,she,4110,4113,2
exp,exp_name,emily,Emily,4209,4214,2
booknlp,COREF,31,she,4309,4312,2
booknlp,COREF,31,her,4413,4416,2
booknlp,COREF,31,me,4427,4429,2
exp,exp_name,emily,Emily,4432,4437,2
booknlp,COREF,31,she,4453,4456,2
exp,exp_name,a teenage girl,a teenage girl,4468,4482,29
booknlp,COREF,31,I,4526,4527,2
exp,exp_name,emily,Emily,4646,4651,2
exp,exp_name,emily,Emily,4946,4951,2
booknlp,COREF,31,her,5020,5023,2
booknlp,COREF,31,she,5059,5062,2
exp,exp_name,emily,Emily,5343,5348,2
exp,exp_name,emily,Emily,5574,5579,2
exp,exp_name,emily,Emily,5716,5721,2
booknlp,COREF,31,she,5729,5732,2
booknlp,COREF,31,her,5951,5954,2
booknlp,COREF,31,she,6000,6003,2
booknlp,COREF,31,she,6051,6054,2
booknlp,COREF,31,her,6115,6118,2
booknlp,COREF,31,her,6140,6143,2
exp,exp_name,emily,Emily,6225,6230,2
booknlp,COREF,31,her,6242,6245,2
booknlp,COREF,31,She,6271,6274,2
booknlp,COREF,31,her,6308,6311,2
booknlp,COREF,31,she,6470,6473,2
booknlp,COREF,31,she,6481,6484,2
booknlp,COREF,31,her,6493,6496,2
booknlp,COREF,31,she,6540,6543,2
booknlp,COREF,31,her,6666,6669,2
booknlp,COREF,31,She,6725,6728,2
exp,exp_name,emily,Emily,6763,6768,2
booknlp,COREF,31,her,6780,6783,2
booknlp,COREF,31,she,7048,7051,2
booknlp,COREF,31,her,7074,7077,2
booknlp,COREF,31,her,7110,7113,2
booknlp,COREF,31,her,7123,7126,2
exp,exp_name,emily,Emily,7154,7159,2
booknlp,COREF,31,her,7203,7206,2
booknlp,COREF,31,her,7243,7246,2
booknlp,COREF,31,She,7249,7252,2
booknlp,COREF,31,her,7285,7288,2
booknlp,COREF,31,her,7498,7501,2
exp,exp_name,emily,Emily,7523,7528,2
booknlp,COREF,31,she,7550,7553,2
booknlp,COREF,31,her,7611,7614,2
exp,exp_name,emily,Emily,7730,7735,2
exp,exp_name,ben,Ben,7738,7741,20
booknlp,COREF,31,her,7764,7767,2
booknlp,COREF,31,she,7825,7828,2
booknlp,COREF,31,she,7887,7890,2
exp,exp_name,ben,Ben,7918,7921,20
booknlp,COREF,31,her,7941,7944,2
booknlp,COREF,31,her,7976,7979,2
booknlp,COREF,31,she,8027,8030,2
exp,exp_name,emily,Emily,8087,8092,2
booknlp,COREF,31,she,8122,8125,2
booknlp,COREF,31,her,8154,8157,2
booknlp,COREF,31,I,8166,8167,2
booknlp,COREF,31,she,8181,8184,2
booknlp,COREF,31,herself,8220,8227,2
booknlp,COREF,31,her,8231,8234,2
booknlp,COREF,31,She,8241,8244,2
booknlp,COREF,31,she,8292,8295,2
exp,exp_name,emily,Emily,8391,8396,2
