,qID,qText,qSpan,speaker,addressee,qType,refExp,menTexts,menSpans,menEnts,speakerGender,dialogueTurn,speakerType,novel,startParaID,endParaID,startChapID,endChapID,speakerID,startByte,endByte,addresse
0,Q0,Emily! Are you ready?,"[1081, 1102]",Ben,['Emily'],Explicit,called out Ben,[],[],[],he/him/his,,intermediate,,,,0,0,20,1081,1102,
1,Q1,It's time to show them what we're made of.,"[1236, 1278]",Ben,['Emily'],Explicit,called out Ben,[],[],[],he/him/his,,intermediate,,,,0,0,20,1236,1278,
2,Q2,"Let's do this,","[1333, 1347]",Emily,['Ben'],Anaphoric,she said,[],[],[],she/her,,intermediate,,,,0,0,2,1333,1347,
3,Q3,"Good morning, Philadelphia!","[1806, 1833]",Emily,[],Anaphoric,she cried out,[],[],[],she/her,,intermediate,,,,0,0,2,1806,1833,
4,Q4,"Today, we stand united in our fight for government transparency! We demand accountability from those who claim to represent us, and we will not be silenced!","[1969, 2125]",Emily,[],Anaphoric,she cried out,[],[],[],she/her,,intermediate,,,,0,0,2,1969,2125,
5,Q5,"Too often, our government operates in the shadows, making decisions that impact all of us without our knowledge or consent,","[2482, 2605]",Emily,[],Explicit,Emily continued,[],[],[],she/her,,intermediate,,,,0,0,2,2482,2605,
6,Q6,"Together, we will shine a light on these hidden actions and hold our elected officials accountable!","[2625, 2724]",Emily,[],Explicit,Emily continued,[],[],[],she/her,,intermediate,,,,0,0,2,2625,2724,
7,Q7,"But we cannot do this alone,","[3038, 3066]",Emily,[],Explicit,Emily said,[],[],[],she/her,,intermediate,,,,0,0,2,3038,3066,
8,Q8,"We need the support of every citizen who believes in the power of transparency and accountability. We need to come together as a community, and as a nation, to demand change.","[3119, 3293]",Emily,[],Explicit,Emily said,[],[],[],she/her,,intermediate,,,,0,0,2,3119,3293,
9,Q9,"We must remember that change does not come easy,","[3552, 3600]",Emily,[],Explicit,Emily said,[],[],[],she/her,,intermediate,,,,0,0,2,3552,3600,
10,Q10,"It takes perseverance, dedication, and most importantly, unity. We must stand together to fight for what we believe in, for the betterment of our society and the world we live in.","[3633, 3812]",Emily,[],Explicit,Emily said,[],[],[],she/her,,intermediate,,,,0,0,2,3633,3812,
11,Q11,"Excuse me,","[4420, 4430]",Emily,['a teenage girl'],Explicit,Emily said gently,[],[],[],she/her,,intermediate,,,,0,0,2,4420,4430,
12,Q12,May I ask you a question?,"[4522, 4547]",Emily,['a teenage girl'],Explicit,Emily said gently,[],[],[],she/her,,intermediate,,,,0,0,2,4522,4547,
13,Q13,Why are you here today? What brings you to this rally?,"[4660, 4714]",Emily,['a teenage girl'],Explicit,Emily asked,[],[],[],she/her,,intermediate,,,,0,0,2,4660,4714,
14,Q14,I'm here because I want to be part of the change. I don't want to just sit back and watch as our government keeps secrets from us. I want to have a say in what happens to my future.,"[4762, 4943]",a teenage girl,[],Explicit,"The girl hesitated briefly before replying,",[],[],[],she/her,,minor,,,,0,0,29,4762,4943,
15,Q15,"Thank you for being here,","[5032, 5057]",Emily,['a teenage girl'],Anaphoric,she said,[],[],[],she/her,,intermediate,,,,0,0,2,5032,5057,
16,Q16,"It's so important that even the very young have a voice in our society. Your presence here today shows that you are committed to making a difference, and together, we can fight for the transparency and accountability we deserve.","[5070, 5298]",Emily,['a teenage girl'],Anaphoric,she said,[],[],[],she/her,,intermediate,,,,0,0,2,5070,5298,
17,Q17,"Let us not forget that it is through the collective efforts of every individual, no matter their age or background, that we can create meaningful change,","[5419, 5572]",Emily,[],Explicit,Emily declared,[],[],[],she/her,,intermediate,,,,0,0,2,5419,5572,
18,Q18,"Together, we have the power to challenge the status quo and demand a better world for ourselves and future generations.","[5591, 5710]",Emily,[],Explicit,Emily declared,[],[],[],she/her,,intermediate,,,,0,0,2,5591,5710,
19,Q19,"However, we must not let ourselves be deterred by the obstacles in our path,","[6147, 6223]",Emily,[],Explicit,Emily continued,[],[],[],she/her,,intermediate,,,,0,0,2,6147,6223,
20,Q20,History has shown us time and time again that change is possible when we stand united in our convictions.,"[6359, 6464]",Emily,[],Explicit,Emily continued,[],[],[],she/her,,intermediate,,,,0,0,2,6359,6464,
21,Q21,"Remember,","[6752, 6761]",Emily,[],Explicit,Emily cautioned,[],[],[],she/her,,intermediate,,,,0,0,2,6752,6761,
22,Q22,it's not enough to simply demand transparency; we must also hold our elected leaders accountable for their actions. We cannot allow them to hide behind closed doors and make decisions that impact our lives without our input.,"[6807, 7031]",Emily,[],Explicit,Emily cautioned,[],[],[],she/her,,intermediate,,,,0,0,2,6807,7031,
23,Q23,"We...we have the power to shape our own futures, and we must use that power wisely. Let us stand together and fight for the transparency we deserve!","[7308, 7456]",Emily,[],Anaphoric,She pressed on,[],[],[],she/her,,intermediate,,,,0,0,2,7308,7456,
24,Q24,Emily!,"[7730, 7736]",Ben,['Emily'],Explicit,Ben cried out,[],[],[],he/him/his,,intermediate,,,,0,0,20,7730,7736,
25,Q25,Is she okay?,"[7822, 7834]",_unknowable,['Emily'],Anaphoric,someone else asked,[],[],[],he/him/his,,minor,,,,0,0,43,7822,7834,
26,Q26,"Just a little light-headed,","[7858, 7885]",Emily,['Ben'],Anaphoric,she said with a queasy smile,[],[],[],she/her,,intermediate,,,,0,0,2,7858,7885,
27,Q27,"You need to finish the speech,","[7995, 8025]",Emily,['Ben'],Anaphoric,she whispered to him,[],[],[],she/her,,intermediate,,,,0,0,2,7995,8025,
28,Q28,We can't...lose this opportunity.,"[8050, 8083]",Emily,['Ben'],Anaphoric,she whispered to him,[],[],[],she/her,,intermediate,,,,0,0,2,8050,8083,
29,Q29,Emily—,"[8087, 8093]",Ben,['Emily'],Anaphoric,"he started to protest,",[],[],[],he/him/his,,intermediate,,,,0,0,20,8087,8093,
30,Q30,"I'll be fine,","[8166, 8179]",Emily,['Ben'],Anaphoric,"she said,",[],[],[],she/her,,intermediate,,,,0,0,2,8166,8179,
31,Q31,"Too much caffeine,","[8272, 8290]",Emily,[],Anaphoric,she said loudly,[],[],[],she/her,,intermediate,,,,0,0,2,8272,8290,
32,Q32,"Go on,","[8501, 8507]",Emily,['Ben'],Anaphoric,she mouthed,[],[],[],she/her,,intermediate,,,,0,0,2,8501,8507,
33,Q33,"As Emily was saying, we have the power to shape our own futures…","[8674, 8738]",Ben,[],Anaphoric,He picked up the microphone and cleared his throat before addressing the crowd,[],[],[],he/him/his,,intermediate,,,,0,0,20,8674,8738,
34,Q34,Are you okay?,"[9021, 9034]",a concerned woman,['Emily'],Explicit,a concerned woman asked,[],[],[],,,minor,,,,0,0,44,9021,9034,
35,Q35,"Fine...just need some air,","[9090, 9116]",Emily,['a concerned woman'],Explicit,"Emily managed,",[],[],[],she/her,,intermediate,,,,0,0,2,9090,9116,
36,Q36,"Get it together, Emily,","[9982, 10005]",Emily,['Emily'],Anaphoric,"she whispered to herself,",[],[],[],she/her,,intermediate,,,,0,0,2,9982,10005,
37,Q37,You've got this.,"[10094, 10110]",Emily,['Emily'],Anaphoric,"she whispered to herself,",[],[],[],she/her,,intermediate,,,,0,0,2,10094,10110,
38,Q38,"Come on, come on...","[10399, 10418]",Emily,['Emily'],Anaphoric,"she muttered,",[],[],[],she/her,,intermediate,,,,0,0,2,10399,10418,
39,Q39,"Help...please, someone help me,","[10940, 10971]",Emily,[],Explicit,Emily whispered,[],[],[],she/her,,intermediate,,,,0,0,2,10940,10971,
40,Q40,"Look, the Fourth Amendment clearly states that people have the right to be secure in their persons, houses, papers, and effects against unreasonable searches and seizures,","[11375, 11546]",Dana,[],Explicit,Dana said,[],[],[],she/her,,major,,,,1,1,0,11375,11546,
41,Q41,A warrantless search in this case would be an infringement upon that right.,"[11599, 11674]",Dana,[],Explicit,Dana said,[],[],[],she/her,,major,,,,1,1,0,11599,11674,
42,Q42,"Except when there's reasonable suspicion or probable cause,","[12153, 12212]",Mark,['Dana'],Anaphoric,"retorted one of her colleagues,",[],[],[],he/him/his,,minor,,,,1,1,26,12153,12212,
43,Q43,We're dealing with a serial killer here. We can't afford to let them slip through our fingers over a technicality.,"[12280, 12394]",Mark,['Dana'],Anaphoric,"retorted one of her colleagues,",[],[],[],he/him/his,,minor,,,,1,1,26,12280,12394,
44,Q44,Technicality?,"[12398, 12411]",Dana,['Mark'],Explicit,"Dana repeated,",[],[],[],she/her,,major,,,,1,1,0,12398,12411,
45,Q45,"You might want to brush up on your constitutional history, Mark. The Founding Fathers didn't put these protections in place for kicks. They recognized the potential for abuse of power and sought to create a system of checks and balances.","[12585, 12822]",Dana,['Mark'],Explicit,"Dana repeated,",[],[],[],she/her,,major,,,,1,1,0,12585,12822,
46,Q46,"Sorry, folks, duty calls,","[13504, 13529]",Dana,[],Anaphoric,"she said,",[],[],[],she/her,,major,,,,1,1,0,13504,13529,
47,Q47,We'll have to finish this debate another time.,"[13609, 13655]",Dana,[],Anaphoric,"she said,",[],[],[],she/her,,major,,,,1,1,0,13609,13655,
48,Q48,"At the end of the day, Mark,","[13805, 13833]",Dana,['Mark'],Anaphoric,"she said,",[],[],[],she/her,,major,,,,1,1,0,13805,13833,
49,Q49,it's your case. But a word of advice? Doing the right thing never came back to haunt anybody.,"[13846, 13939]",Dana,['Mark'],Anaphoric,"she said,",[],[],[],she/her,,major,,,,1,1,0,13846,13939,
50,Q50,"Blaze,","[16299, 16305]",Dana,[],Anaphoric,"she said,",[],[],[],she/her,,major,,,,1,1,0,16299,16305,
51,Q51,"Agent Blaze,","[16343, 16355]",Michaels,['Dana'],Explicit,"Michaels said,",[],[],[],he/him/his,,intermediate,,,,1,1,9,16343,16355,
52,Q52,I trust you've been notified about the case?,"[16373, 16417]",Michaels,['Dana'],Explicit,"Michaels said,",[],[],[],he/him/his,,intermediate,,,,1,1,9,16373,16417,
53,Q53,"I saw the message, yes,","[16682, 16705]",Dana,['Michaels'],Anaphoric,she said.,[],[],[],she/her,,major,,,,1,1,0,16682,16705,
54,Q54,I was actually just at your office.,"[16718, 16753]",Dana,['Michaels'],Anaphoric,she said.,[],[],[],she/her,,major,,,,1,1,0,16718,16753,
55,Q55,"Just got out of a meeting with the mayor,","[16757, 16798]",Michaels,['Dana'],Explicit,"Michaels said,",[],[],[],he/him/his,,intermediate,,,,1,1,9,16757,16798,
56,Q56,"He's very concerned—it's a bad look, these deaths.","[16852, 16902]",Michaels,['Dana'],Explicit,"Michaels said,",[],[],[],he/him/his,,intermediate,,,,1,1,9,16852,16902,
57,Q57,What's the case about?,"[17042, 17064]",Dana,['Michaels'],Anaphoric,she asked,[],[],[],she/her,,major,,,,1,1,0,17042,17064,
58,Q58,"Two women in their early twenties,","[17256, 17290]",Michaels,['Dana'],Anaphoric,"he said,",[],[],[],he/him/his,,intermediate,,,,1,1,9,17256,17290,
59,Q59,"both of them political activists, have been found dead in Philadelphia, one a week ago and the other this morning. The manner of their deaths is suspicious, to say the least, and I need you to head there and investigate further.","[17302, 17530]",Michaels,['Dana'],Anaphoric,"he said,",[],[],[],he/him/his,,intermediate,,,,1,1,9,17302,17530,
60,Q60,"I'll make arrangements to head to Philadelphia immediately,","[17534, 17593]",Dana,['Michaels'],Anaphoric,she said.,[],[],[],she/her,,major,,,,1,1,0,17534,17593,
61,Q61,"Good. I hope I don't have to stress how important this is. These were young women in the prime of their lives, pillars of their communities. There's going to be a wave of public outrage when someone connects the dots, which is why it's crucial we figure out what's going on as soon as possible—and bring any responsible parties to justice.","[17607, 17946]",Michaels,['Dana'],Implicit,,[],[],[],he/him/his,,intermediate,,,,1,1,9,17607,17946,
62,Q62,"Understood, sir.","[17950, 17966]",Dana,['Michaels'],Implicit,,[],[],[],she/her,,major,,,,1,1,0,17950,17966,
63,Q63,Good. Agent Harris is en route—he'll meet you there.,"[17970, 18022]",Michaels,['Dana'],Implicit,,[],[],[],he/him/his,,intermediate,,,,1,1,9,17970,18022,
64,Q64,Agent Harris?,"[18026, 18039]",Dana,['Michaels'],Implicit,,[],[],[],she/her,,major,,,,1,1,0,18026,18039,
65,Q65,"Sam Harris. I'm sure you've brushed elbows before. He's a Philly kid, born and raised, so he knows the terrain. I'm trusting you two to get this done.","[18112, 18262]",Michaels,['Dana'],Implicit,,[],[],[],he/him/his,,intermediate,,,,1,1,9,18112,18262,
66,Q66,"Of course, sir.","[18266, 18281]",Dana,['Michaels'],Implicit,,[],[],[],she/her,,major,,,,1,1,0,18266,18281,
